"Ticker","Stock_Name","Sector_Name"
"AAL.L","ANGLO AMERICAN","Basic Materials"
"ABF.L","ASSOCIAT BRIT FOODS","Consumer Goods"
"ABG.L","AFRICAN BARR GOLD","Basic Materials"	
"ADM.L","ADMIRAL GROUP","Insurance"
"AGK.L","AGGREKO","Services"
"AMEC.L","AMEC ","Services"
"ANTO.L","ANTOFAGASTA","Basic Materials"
"ARM.L","ARM HOLDINGS ","Technology"
"ATST.L","ALLIANCE TRUST ","Financial"
"AU.L","AUTONOMY CORP","Technology"
"AV.L","AVIVA","Financial"
"AZN.L","ASTRAZENECA","Healthcare"
"BA.L","BAE SYSTEMS","Industrial Goods"
"BARC.L","BARCLAYS ","Financial"
"BATS.L","BRIT AMER TOBACCO","Consumer Goods"
"BAY.L","BRITISH AIRWAYS","Services"
"BG.L","BG GROUP ","Basic Materials"
"BLND.L","BRIT LAND CO REIT","Financial"
"BLT.L","BHP BILLITON ","Basic Materials"
"BNZL.L","BUNZL","Services"
"BP.L","BP","Basic Materials"
"BRBY.L","BURBERRY GROUP","Consumer Goods"
"BSY.L","B SKY B GROUP","Services"
"BT-A.L","BT GROUP","Technology"
"CCL.L","CARNIVAL","Consumer Goods"
"CNA.L","CENTRICA","Utilities"
"CNE.L","CAIRN ENERGY","Basic Materials"
"COB.L","COBHAM","Industrial Goods"
"CPG.L","COMPASS GROUP","Services"
"CPI.L","CAPITA GRP","Services"
"CSCG.L","CAP SHOP CENTRES","Financial"
"DGE.L","DIAGEO","Consumer Goods"
"ESSR.L","ESSAR ENERGY","Utilities"
"FRES.L","FRESNILLO","Basic Materials"
"GFS.L","G4S","Services"
"GKN.L","GKN","Consumer Goods"
"GSK.L","GLAXOSMITHKLINE","Healthcare"
"HMSO.L","HAMMERSON REIT ","Financial"
"HSBA.L","HSBC HLDG","Financial"
"IAP.L","ICAP ","Financial"
"III.L","3I GROUP ","Financial"
"IMT.L","IMPERIAL TOBACCO ","Consumer Goods"
"INVP.L","INVESTEC ","Financial"
"IPR.L","INTERNATIONAL POWER","Utilities"
"ISAT.L","INMARSAT ","Technology"
"ISYS.L","INVENSYS ","Technology"
